date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT
2013-03-27,-10.216884899372191,-9.902099942238078,-9.125887688471945,-9.130214618317757,-9.365752468363233,-9.492136974053524,-9.900375104083034,-9.756757644240766,-9.959592692686051,-9.788222508576688,,-9.351156520631333,-9.931204513193677,-9.788931158065369,-10.018620248621671,-8.951055085631747,-10.151390816087092,-9.201111328249917,-10.920611056044208,-10.417589382351807,-10.026366451666064,-9.174989361364354,-10.292492813092007,-9.093282614210528,-10.048915778296797,-8.49681767915188,-9.634396165131399,-9.079316112353649,-9.325324966519249,-10.578827776950648
2013-03-28,-10.488006390285006,-10.076100106245443,-9.152826439863416,-9.208611491324529,-9.637349039864667,-9.526388854552819,-10.004163226833523,-9.785497119009365,-9.141883486311428,-9.825987598310975,,-9.168240741361114,-9.502525530401579,-10.28910294672619,-9.926647450428705,-9.2591415646624,-10.344976567035845,-9.588764668180929,-10.653654967330322,-10.170324737061009,-9.578955294610138,-9.899788899649854,-10.201063313078189,-8.535539134705628,-10.111233997187174,-9.483890354676271,-9.805266813905241,-8.796747312794858,-9.889607239646848,-10.258020122479197
2013-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,-10.394982594228333,-9.486314516220167,-8.684951524452744,-8.667852194390427,-9.366989429707411,-9.767436226699418,-9.84403071742242,-8.544997668135474,-9.760540280558915,-9.465911193074078,,-8.833975890978383,-9.214082082086927,-9.820828138487915,-9.83776481847988,-9.40871855950196,-10.354165529466119,-9.049418675989264,-10.541165959435082,-9.757178212910702,-10.147196269707376,-9.341120178705738,-10.032123102828637,-8.88805572307621,-9.898217856176451,-7.747893694573354,-9.819939665491257,-8.933674643851015,-9.758751978651558,-9.860982770754656
2013-04-02,-10.175829509545881,-10.071984618276147,-8.824736368994946,-8.129994561402183,-8.911498004661095,-9.568007890337151,-10.231472470555579,-9.65559657066636,-9.792696091045745,-9.912995123396016,,-9.130182721891696,-8.90626980196783,-9.835874775182345,-10.206369917107263,-9.53827972870816,-10.735977182077285,-9.777866688491116,-10.477039020507988,-9.931822993704458,-10.305663677140355,-8.93173224090299,-9.886294187200129,-8.50484246697941,-10.513200449225378,-7.228423002959655,-9.891251156695226,-9.674271447678226,-9.502377040128177,-10.566742747765979
2013-04-03,-9.644136963137356,-9.538975173386008,-8.150004274944978,-8.696342048219066,-9.121435012679674,-8.964124757776636,-9.152917967351526,-9.412749973024944,-9.444441895850394,-9.685643587413395,,-8.391079136697142,-8.939748884391609,-9.38332731495845,-9.558000066650088,-9.2921833118945,-9.855635995188532,-8.57123579913901,-9.842419367063732,-9.180074444223491,-9.576241555140209,-8.76232284182561,-9.679365493281383,-7.82112627233676,-9.566703226355965,-8.193148338116698,-9.198343703278464,-9.092191813866766,-8.513884740385125,-10.054504876215637
2013-04-04,-9.917652658906922,-9.854222240079485,-8.911332236334824,-8.298343685069034,-9.848186614666218,-9.427680799601946,-9.592984835115564,-10.079476167949187,-10.15595842272698,-9.577489991307145,,-8.576212058073228,-9.962685823301658,-10.049121524922633,-10.026334375603462,-9.524075710871298,-10.005288784897692,-9.16228649851978,-9.90800967940526,-8.95058040387461,-9.71430249837473,-9.62779579996826,-9.793952305252724,-8.736107024207122,-9.286868706675053,-8.704723872354473,-9.605622882125433,-9.76896776579817,-8.690596546972651,-9.912117720151555
2013-04-05,-10.149054024392758,-9.180377909956169,-9.626022620791304,-9.171727958076254,-9.297688381312186,-9.200852926181849,-9.400067746710793,-7.8482231972230965,-9.846091698239166,-9.51129274842615,,-8.78161946382755,-9.824586039762012,-9.518020556206208,-9.491005949834545,-9.703432655219316,-9.972333408810059,-8.869764736689316,-10.203937030568412,-9.825622278009186,-9.261973500738291,-9.550282050762249,-9.956512825102411,-8.597536114193106,-9.746613228913285,-9.194816034041834,-10.177639571802183,-9.332290384024411,-8.54750613169038,-10.523197835127448
2013-04-08,-9.997462552340453,-10.04177354839944,-9.401829442391172,-9.216613531704887,-9.372698365532925,-8.867055340145004,-9.944551100370033,-9.411591192277907,-9.087232230935532,-9.052121980713427,,-9.456934958954474,-9.650149698622823,-10.315036874817844,-10.448705926689314,-9.873954396240483,-9.40974515062579,-9.492339340155665,-10.393553839342148,-10.18418762314497,-10.430391438489744,-9.187134365183486,-10.129696531858473,-8.679480165133535,-10.357519778281462,-8.956449059143315,-10.09439792300576,-9.786543093344292,-9.463292770461408,-9.679656560430166
2013-04-09,-10.066364643030054,-10.291697792981868,-9.3284290038567,-9.37937659733159,-9.331794774323967,-8.995044627214089,-9.813205454813618,-9.310084916797381,-9.529957179362054,-9.988084965146156,,-9.145286728974076,-9.635444497082823,-10.102422395449699,-10.447975260217198,-8.670332418355935,-10.514439275267316,-9.847212140936831,-10.33271618507767,-9.75618576454396,-8.309240771659871,-9.274645578242728,-9.751629943228622,-8.643792772032977,-9.95515075846749,-9.258139783984312,-9.993241489956807,-9.436276623389194,-9.339073001095443,-9.561276041376193
2013-04-10,-9.868598319539501,-10.924326109193863,-8.91568474138052,-8.86007917640181,-9.360665377359494,-9.262108164744344,-10.34725244640833,-9.15037257500845,-9.793004241154856,-9.128875159842464,,-9.507978265927695,-10.08803131830305,-10.12336593910002,-9.754644007828094,-8.210373249156207,-10.710007897070827,-8.800765402003812,-10.343145708434,-9.816511950079994,-8.50957545377142,-9.04670341727795,-9.849814129974328,-8.434950199975228,-9.991995301989595,-9.373946597197932,-10.017269055084748,-9.47625957753204,-9.36510794496069,-9.567243197223636
2013-04-11,-10.31525374061514,-9.81346353223804,-9.014828052582414,-9.014579539031056,-9.430582795497099,-8.987258258275835,-9.82663312014154,-8.903903875677337,-9.846731591230364,-9.352614198197106,,-8.961248663575532,-9.7322239613253,-10.142426538324637,-10.155804811468393,-8.492394716738502,-9.714672146317131,-8.853439602907208,-11.012653085266809,-9.553732986865041,-9.044432115569995,-9.482718050467039,-9.805456093772307,-9.035840952002296,-9.565201472522189,-9.555652337278739,-9.98424748748431,-9.6334699611818,-8.886207822067854,-9.599607658557979
